ID del canal,Título del canal,categoria,logo_url
UCb7i8eBh35ub-sv4eSfBB9Q,Asamblea de Antioquia,Política y gobierno de Colombia,https://yt3.ggpht.com/ytc/AIdro_lFgWmJh7Rk1nTKWYdH0T5lVY1d5dAfdMT8B2we6GK4894=s240-c-k-c0x00ffffff-no-rj
UCb7xZQi7F3RW7BNtR57cNnA,Banijay History,"Historia, documentales y cultura",https://yt3.ggpht.com/xSQblMoBP-L8e_Pb9Hkowxa3fJCRC9vSnaBBjQlhPJrqkZMVHURItcSlaum-tP4xyybr8hCH=s240-c-k-c0x00ffffff-no-rj
UCb8vrqP8Z7Oz9ZTYvUtjUHQ,Daniel LaBelle,YouTuber / Entretenimiento personal,https://yt3.ggpht.com/mtLBECHLKLPzfFu7admDqPxSpc1dWIgkJG7jVmQwVuEdpDxQ3_u1ijNwySCVlgkkay-aiFcBrs4=s240-c-k-c0x00ffffff-no-rj
UCb9F9_uV24PGj6x63PhXEVw,The Inside View,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/_1erdVVzcEfeBN2ZSPVGLM7AxZVN0PqgByj3Fw0POvNLPJpSGbwXKY0NpiISS-isjmFwVCH_dw=s240-c-k-c0x00ffffff-no-rj
UCbDMpuJ1di7lYN7ouCgMQYw,Dinstinto,"Economía, finanzas y negocios",https://yt3.ggpht.com/zIcWETtBH_3vqNroT8hjhQ9FdmK7Cuuz4jMsdhhG7MtZHxYj-p84Vp2aDfh4zhp7ArH5eLt9=s240-c-k-c0x00ffffff-no-rj
UCbG3HA3C-8Vw7GB7CuFhPKg,La Hora de La Verdad,Noticias y medios (Colombia),https://yt3.ggpht.com/q8-m6vHrYHtthpyQXqGMRacNHFevcnOEJOCYsT_ZaOtIoaObuL-EV89y5L8d543dfEcn6ty6AQs=s240-c-k-c0x00ffffff-no-rj
UCbGw1VPhTKHVHc-FzSVFVpA,Rubysur,Programación y desarrollo de software,https://yt3.ggpht.com/v9ztog1Rc1n-7H0tfVzD1jFkb2ZnJhWeSz7uiYGv4z2hlZqVfCR8XfRP0ySr45jM1k8UNyKOiQ=s240-c-k-c0x00ffffff-no-rj
UCbGy2YOZaQ2ZqCkixSokTKQ,Sharp Tech Podcast,"Podcasts, entrevistas y opinión",https://yt3.ggpht.com/udfYpBGwgatQDUBphEeo8EOs6-Ps1fZe6yBtIU6cuNIweyqboTCUUY-JgNy47315mqGWv6q5=s240-c-k-c0x00ffffff-no-rj
UCbH66CA-esWX4EBCvsXQtwQ,Axios Live,Noticias y medios (internacionales),https://yt3.ggpht.com/3wX5GjnjJ0ZaukdcOxFex0iFq49SwZ7GS1TLA7JuUFfXB_bra_yOP2tQAfJfeRkZ3h8qMqyc=s240-c-k-c0x00ffffff-no-rj
UCbHFKMtqLYkIBRiPHJwxu_w,Tesla News,Empresas de hardware / tecnología de consumo,
UCbJbH590dYWqgmtn-0MaIug,Latin America Bioimaging (LABI),"Salud, medicina y anatomía",https://yt3.ggpht.com/ytc/AIdro_mbaAU5Uc5sTmEgwO_6mkJfCZkoilkuroyyGetnPXYs91M=s240-c-k-c0x00ffffff-no-rj
UCbLvwnHuFdqI9E7a9wdLxwA,University of Glasgow,Universidades y academia,https://yt3.ggpht.com/Jkxq1nO0673pw15612r6GrP0hCA8pUpkiMe6gDkP3v-bELTv93hNukYJP1pfcUhCM7KoIEZs7zc=s240-c-k-c0x00ffffff-no-rj
UCbO8cYGqWzwAsxaMtdzEuWg,DogDen Fitness,"Fitness, ejercicio y salud física",https://yt3.ggpht.com/-MA-f0399Sf8DLu8sIs6UxZ7Vr0DzWGwd1R6OEnR52s2NEY34lfYrIOSlW48lQykQKfJPxv_=s240-c-k-c0x00ffffff-no-rj
UCbRP3c757lWg9M-U7TyEkXA,Theo - t3․gg,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/Y6jut5A-dhWRlv7W81kGxVFPtZGjZN97IhBP75uLnx2AVV7ZEJUUUxBKHlFw9GcwILxkz1E_cLc=s240-c-k-c0x00ffffff-no-rj
UCbXgNpp0jedKWcQiULLbDTA,Patrick Loeber,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/MtAplIas7mSTWrQwKxSEM9NNVaZNzIhXhVsMADkkz0Rz6wcpC2pEpkp3RqPn6N9Lvv1F9Ymm=s240-c-k-c0x00ffffff-no-rj
UCbY9xX3_jW5c2fjlZVBI4cg,TheAIGRID,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/zykRE68V93q9vVgXCxs-g9hNYCxzLF_FSmcTJoknlzvj3J4TaURzyYHghslyITHjYEt5gurVJQ=s240-c-k-c0x00ffffff-no-rj
UCbYmNS5-mLUFYPJLQEFTIyA,Educación ContinuaEAFIT,Universidades y academia,https://yt3.ggpht.com/HTDnOBpZTS_M2d6VpQYwThD_fx72LbFCwuv-NWilQrWjuK40n29TiRDTUamnMSiIQnPRX7SITDw=s240-c-k-c0x00ffffff-no-rj
UCbZZ8jpRSmqT787P7n0EPEQ,RV Strength,"Fitness, ejercicio y salud física",https://yt3.ggpht.com/K-sqND5aAs9LJkhahCgPhcjvR8b2JGa8UKc6OMPfSCSqNkY-VwlGSk6SJG_TMnkSgoBXTVxi=s240-c-k-c0x00ffffff-no-rj
UCbZgdwlGtW6FHKYXF72gKEA,Startupeable con Enzo Cavalie,"Economía, finanzas y negocios",https://yt3.ggpht.com/NH54kYHpUZR2ph7RM0dqBDQQdo9UKFYZMo6izlzWFS-6GhR7T2uSR3rTjxmPeIrHvVTVOc0vBpY=s240-c-k-c0x00ffffff-no-rj
